event,series,method,window,CAR,t,sig
ukraine,AUD,const_mean,"(-1,1)",0.0023419641773076514,0.24971858198628993,
ukraine,AUD,const_mean,"(0,1)",0.00022368605102550052,0.029211586495967393,
ukraine,AUD,const_mean,"(0,5)",0.013786225371119004,1.0394437407168235,
ukraine,AUD,const_mean,"(0,10)",0.01822629643331646,1.0149235421021978,
ukraine,AUD,const_mean,"(0,20)",0.04019142339288466,1.6197760733957711,
ukraine,AUD,market_model,"(-1,1)",0.00971258657552886,1.5724779465078051,
ukraine,AUD,market_model,"(0,1)",0.007309098511214784,1.44930271283373,
ukraine,AUD,market_model,"(0,5)",0.029523968135003877,3.379943109594389,***
ukraine,AUD,market_model,"(0,10)",0.04007328936754177,3.388199215142045,***
ukraine,AUD,market_model,"(0,20)",0.048511104455908824,2.968532463309077,***
ukraine,BRL,const_mean,"(-1,1)",-0.02025006863394089,-1.2750944997276266,
ukraine,BRL,const_mean,"(0,1)",-0.029930178761218895,-2.308186056114035,**
ukraine,BRL,const_mean,"(0,5)",-0.004211944328982822,-0.18753550285870424,
ukraine,BRL,const_mean,"(0,10)",0.00014236414594219352,0.004681454262526596,
ukraine,BRL,const_mean,"(0,20)",0.0380073943934099,0.9045549411213588,
ukraine,BRL,market_model,"(-1,1)",-0.013114420452594413,-0.9147597041189619,
ukraine,BRL,market_model,"(0,1)",-0.02307064807248886,-1.9708943570653583,**
ukraine,BRL,market_model,"(0,5)",0.011024081811593247,0.543732574419243,
ukraine,BRL,market_model,"(0,10)",0.021292878576937416,0.7756335469159975,
ukraine,BRL,market_model,"(0,20)",0.04606184540708254,1.2143677791916705,
ukraine,CAD,const_mean,"(-1,1)",0.005066613756839872,0.7035833810471633,
ukraine,CAD,const_mean,"(0,1)",0.002111554286586448,0.35912501367373145,
ukraine,CAD,const_mean,"(0,5)",0.004412866441161345,0.4333148374154631,
ukraine,CAD,const_mean,"(0,10)",-0.0023138032650027334,-0.16779866027497323,
ukraine,CAD,const_mean,"(0,20)",0.01747284667123011,0.9170909770086912,
ukraine,CAD,market_model,"(-1,1)",0.009816633038370527,1.7582475613681054,*
ukraine,CAD,market_model,"(0,1)",0.006677769184750135,1.464854536280126,
ukraine,CAD,market_model,"(0,5)",0.014555101050041002,1.8433919819633364,*
ukraine,CAD,market_model,"(0,10)",0.01176555558345469,1.1005105030865319,
ukraine,CAD,market_model,"(0,20)",0.02283448960047411,1.5458229676444173,
ukraine,CHF,const_mean,"(-1,1)",-0.003716337207228977,-0.5281338824726405,
ukraine,CHF,const_mean,"(0,1)",-0.0072377298799485516,-1.2597283911505337,
ukraine,CHF,const_mean,"(0,5)",0.0016716281887670468,0.16797846385609363,
ukraine,CHF,const_mean,"(0,10)",-0.011808361014869281,-0.876360559991728,
ukraine,CHF,const_mean,"(0,20)",-0.011106974170608033,-0.5965895735559276,
ukraine,CHF,market_model,"(-1,1)",0.00035775860685294085,0.061087119210803204,
ukraine,CHF,market_model,"(0,1)",-0.003321283250954565,-0.6945621279553741,
